vf_precinct_id,vf_precinct_county,vf_precinct_ward,vf_precinct_name,vf_precinct_code,vf_precinct_count
22213,DEKALB,6,SJ - Stone Mill Elem,SJ,2147
222510,COLQUITT,5,0010 - Doerun,10,372
221058,HEARD,3,Roosterville,ROO,362
221743,RICHMOND,2,201,201,734
221512,RICHMOND,7,704,704,298
22631,RICHMOND,6,601,601,1748
22797,TROUP,1,05 - West Point,5,1176
2244,FULTON,7,RW13,RW13,1608
221133,CHATHAM,1,1-6 C - Central CH of C,1-6 C,990
22431,DOUGLAS,1,730 - Douglasville,730,2622
22723,COLUMBIA,2,080 - Westside Bapt Church,80,768
22519,FORSYTH,3,20 - Piney Grove,20,1646
22467,GWINNETT,2,061 - Lawrenceville E,61,997
222067,TOOMBS,1,15361 - Lyons,15361,1207
222487,DODGE,4,McCranie,MCCRA,153
22763,THOMAS,4,111 - Meigs,111,518
222384,WILCOX,2,2A - Abbeville North #2,02A,233
22173,CLAYTON,4,OAK3 - Oak 3,OAK3,2456
222701,TATTNALL,3,6 - Birdford,6,298
221608,DEKALB,6,SO - South Deshon,SO,1449
221426,BRANTLEY,LRG,2 - Atkinson,2,901
222283,CHATHAM,8,8-9 C - Moses Jackson Center,8-9 C,539
221447,COLUMBIA,1,136 - Blueridge Elementary,136,1106
22933,FULTON,,11P,11P,1039
221218,COBB,4,GT01 - Gritters 01,GT01,1109
22429,PAULDING,LRG,09B - Paulding County High School,09B,2430
221354,FLOYD,LRG,025 - Chulio,25,526
222167,JACKSON,3,0242 - Redstone,242,896
221668,RICHMOND,2,206,206,421
22893,EARLY,4,CUBA,CUBA,355
222293,FULTON,5,AP01D,AP01D,318
221677,DEKALB,7,WG - Woodridge Elem,WG,1412
22283,DEKALB,2,ME - McLendon Elem,ME,1384
221016,GWINNETT,2,039 - Pinckneyville G,39,2193
222802,APPLING,3,03A,03A,149
221082,MUSCOGEE,5,119 - Moon/Morningsid,119,2721
2220,DEKALB,4,SF - Skyland,SF,1079
222669,BURKE,1,0007 - Midville,7,268
22360,DEKALB,1,CH - Chesnut Elem,CH,1543
221707,LINCOLN,4,4-B - Martins Crossroad,04-B,588
221896,FAYETTE,LRG,02 - Brooks,2,893
222135,HALL,4,022 - Whelchel,22,1846
222735,RANDOLPH,4,998 - 4th District,998,62
221099,UNION,LRG,11 - Choestoe,11,536
221823,MCDUFFIE,3,134 - Vanderhorst,134,902
221621,DEKALB,6,SD - Stn Mtn Elementary,SD,1170
221336,HOUSTON,5,BMS - Bonaire Middle School,BMS,2309
222634,TIFT,4,03 - Brookfield,3,717
221257,DEKALB,1,AG - Ashford Dunwoody Rd,AG,1277
222270,SPALDING,4,15 - Blalock,15,284
22616,FULTON,3,SS11C,SS11C,400
221417,DEKALB,4,MK - Montreal,MK,894
22468,UNION,LRG,08 - Gumlog,8,955
221813,LUMPKIN,LRG,Dahlonega,DA,1129
22587,COBB,5,EA02 - Eastside 02,EA02,1800
221225,TROUP,6,02 - Administration Bldg,2,1772
222462,WASHINGTON,3,91 - Harrison,91,531
221094,GWINNETT,2,102 - Pucketts B,102,1186
221001,FLOYD,LRG,045 - Fosters Mill,45,499
2262,GWINNETT,3,096 - Duluth G,96,1217
22298,FULTON,6,CP07A,CP07A,812
222600,ELBERT,2,192 - Petersburg,192,199
22185,COBB,6,MT03 - Mt Bethel 03,MT03,1457
22949,MARION,2,808 - Tazewell,808,176
222757,CLAY,4,4 - Old Head Start,4,267
22943,CHATTOOGA,LRG,925 - Summerville,925,2971
22305,DOUGLAS,4,1258 - Mirror Lake Elementa,1258,2604
22108,HENRY,1,25 - Locust Grove,25,2176
222395,HABERSHAM,LRG,03 - Demorest,3,1029
221316,FULTON,,03C,03C,894
221544,GWINNETT,1,003 - Dacula,3,1828
222177,DECATUR,5,1342 - Kendrick,1342,319
221698,LEE,4,#8 Soverign Gr,8,1254
222200,FANNIN,LRG,Noontootla,NOON,386
221721,CHATHAM,4,4-2 C - Frank Murray Comm Ct,4-2 C,1129
22585,COBB,7,FO04 - Fair Oaks 04,FO04,1278
22620,FULTON,3,SS13A,SS13A,1297
222759,COLQUITT,2,0023 - Warrior,23,482
221498,FULTON,,08N1,08N1,398
221213,FULTON,6,SC11B,SC11B,880
221508,GLYNN,3,3713 - Sterling Ch. Of,3713,1697
2285,CHEROKEE,4,005 - Bascomb,5,1738
22284,DEKALB,4,BD - Briarlake Elem,BD,786
221580,BANKS,1,0006 - Davids,6,720
22532,GWINNETT,1,041 - Baycreek B,41,2112
22663,FULTON,,03E,03E,1137
221492,DEKALB,6,SQ - Stone Mtn Library (S),SQ,832
2291,COBB,5,TT01 - Tritt 01,TT01,1356
221434,STEPHENS,LRG,3 - Toccoa #3,3,1673
221846,STEPHENS,LRG,6 - Martin,6,574
22496,DEKALB,5,FG - Flat Rock Elem,FG,1294
221026,FORSYTH,4,06 - Crossroads,6,1573
22443,DEKALB,2,CU - Covington,CU,1431
221326,CHATHAM,1,1-8 C - Grace United Met Chu,1-8 C,896
221245,COBB,1,KE4A - Kennesaw 4a,KE4A,1230
22847,FORSYTH,1,07 - Cumming,7,1399
221688,DEKALB,5,CF - Murphey Candler Elem,CF,1228
222663,BURKE,1,0013 - Vidette,13,157
222027,MITCHELL,1,LS - Lester,LS,647
222824,FULTON,4,SC11,SC11,1
221837,MITCHELL,3,CN - Camilla North,CN,1036
22315,COBB,,MR1A - Marietta 1a,MR1A,1986
222705,DODGE,3,Vilula,VILUL,99
22721,FULTON,5,JC10,JC10,1344
22346,DOUGHERTY,1,05 - Westover High School,5,1829
22518,GWINNETT,3,155 - Suwanee G,155,1588
221675,DEKALB,3,TC - Toney Elem,TC,678
222230,RICHMOND,8,809,809,719
22819,MONROE,2,14 - Russellville,14,185
221514,APPLING,5,05A,05A,569
22398,RICHMOND,1,108,108,280
221404,CHATHAM,1,1-1 C - First Presbyterian C,1-1 C,1557
22132,JEFFERSON,2,0082 - Louisville,82,2053
222073,EFFINGHAM,1,01C,01C,638
222512,BROOKS,5,PR 04,1402,314
221881,FULTON,,01J,01J,1320
221932,WHITFIELD,LRG,PG - Pleasant Grove,PG,2444
221124,CLAYTON,9,MO9 - Morrow 9,MO9,618
222350,WILKES,4,4A - Courthouse,04A,534
222812,MCINTOSH,3,1312 - Sapelo Island,1312,46
22318,FULTON,6,EP05,EP05,1592
222412,TOWNS,LRG,1581 - Tate City,1581,19
222318,HALL,1,025 - Gainesville II,25,1202
22203,FULTON,3,SS29A,SS29A,2010
221202,FULTON,3,SS18A,SS18A,318
22171,DEKALB,5,WB - Wesley Chapel South,WB,1222
221345,DOUGHERTY,5,08 - Westtown Elem S,8,1513
22167,DEKALB,1,SE - Silver Lake,SE,2133
222820,FULTON,6,SC17,SC17,1
221270,CARROLL,7,715 - Oak Grove,715,682
222671,MONROE,6,11 - Kelseys,11,288
222554,WAYNE,2,2B - Ritch,02B,187
222649,SCREVEN,4,11 - Jackson Fire Station,11,229
22222,GWINNETT,4,118 - Garners F,118,796
221754,COLUMBIA,1,134 - Col Cty Main Library,134,836
221843,JACKSON,4,0253 - Newtown,253,1089
222606,JEFFERSON,3,1460 - Stapleton,1460,349
221751,SEMINOLE,2,Precinct 2,2,619
221311,LIBERTY,3,07 - Gum Branch,7,1161
222770,THOMAS,2,116 - Patten,116,210
22141,GWINNETT,1,139 - Martins K,139,2187
221861,COLUMBIA,4,031 - Grovetown Methodist,31,1095
221902,UNION,LRG,01 - Blairsville,1,1241
221071,HENRY,5,33 - Spivey Community,33,2264
221092,HOUSTON,1,CENT - Centerville City Hall,CENT,2321
22333,COBB,6,VG02 - Vinings 02,VG02,3507
221372,CLARKE,6,05B,05B,1303
221192,BIBB,3,RU2 - Rutland 2,RU2,1643
222525,HANCOCK,2,Linton B,02B,307
221704,BRANTLEY,LRG,6 - Hoboken,6,786
22907,FLOYD,LRG,140 - Town Rome,140,1656
222603,JONES,2,04 - Davidson,4,709
222485,FRANKLIN,LRG,09 - Gunnells,9,267
221925,HALL,3,002 - Wilson II,2,865
221646,GLYNN,5,5923 - City Rec Bldg,5923,1682
222259,FULTON,,03G,03G,466
222727,IRWIN,4,1643 - Osierfield,1643,110
222421,MACON,1,1 - Ideal,1,947
222092,TELFAIR,6,Jacksonville,JA,431
22251,CHATHAM,7,7-1 C - Garden City Com Ctr,7-1 C,834
22744,FAYETTE,LRG,10 - Sandy Creek,10,1649
222454,UPSON,7,0588 - Yatesville,588,460
22458,COLUMBIA,3,130 - West Acres Baptist,130,1207
22641,CATOOSA,3,Ringgold,RING,3415
22528,FORSYTH,1,03 - Chattahoochee,3,3141
221002,FLOYD,LRG,085 - Riverside,85,435
22599,FULTON,,10D,10D,2106
222489,HART,5,8 - Bio,8,629
22998,WALKER,5,0953 - Armuchee Valley,953,682
222048,WILKES,3,3B - Rayle City Hall,03B,343
221444,GWINNETT,1,143 - Lawrenceville L,143,1894
221604,RICHMOND,1,107,107,1061
221042,HALL,,024 - Gainesville I,24,935
222822,DOUGHERTY,1,30,30,3
221300,EFFINGHAM,2,02C,02C,1159
22609,FULTON,3,EP03A,EP03A,806
222066,COLUMBIA,4,026 - Philadelphia Church,26,691
221064,LEE,3,#6 First Baptist,6,1575
22732,FULTON,,01B,01B,1943
22789,CARROLL,5,714BN - Emc,714BN,622
2290,FULTON,,02W,02W,1354
221528,FULTON,1,AP04A,AP04A,689
222040,FULTON,,04T,04T,458
221912,CHATHAM,7,7-4 C - Lake Shore Comm,7-4 C,1936
222533,FRANKLIN,LRG,11 - Strange,11,360
22811,DOUGLAS,2,731 - Beulah,731,1533
222570,MACON,3,3 - Marshallville,3,822
221920,GILMER,LRG,05 - Leaches,5,1163
22909,POLK,4,05 - Lake Creek,5,1312
22397,CLARKE,3,03A,03A,1352
22290,FULTON,,04K,04K,1259
22741,TROUP,7,15 - Highland,15,806
22776,COBB,7,FR01 - Ford 01,FR01,1117
221535,COBB,2,SN2B - Smyrna 2b,SN2B,1336
222278,WARREN,2,3 - Norwood,3,228
222687,WILKINSON,1,06 - Ivey,6,469
22296,FULTON,,04V,04V,1432
222623,FRANKLIN,LRG,13 - Red Hill,13,247
221907,MARION,3,339 - Pineknot,339,474
221455,HOUSTON,2,QRUN - Quail Run Elementary School,QRUN,1095
221391,CHATHAM,7,7-13C - Garden City Cit,7-13C,1026
222382,BIBB,1,EM3 - East Macon 3,EM3,973
22280,DEKALB,2,MJ - Montclair Elem,MJ,1554
22730,CLAYTON,4,FP1 - Forest Park 1,FP1,1613
2288,FULTON,5,JC11,JC11,1635
22678,CRAWFORD,1,District 1b,01B,526
221536,PULASKI,5,South Precinct,SOUTH,1415
222,DEKALB,1,MS - Mount Vernon West,MS,1349
221742,RICHMOND,1,102,102,703
221599,WARE,2,100 - District 1,100,2476
222642,FRANKLIN,LRG,05 - Canon,5,604
221705,DOUGHERTY,6,22 - Phoebe East,22,1689
221614,HENRY,5,41 - Stagecoach,41,1555
221445,CHATHAM,1,1-10C - Isle Of Hope School,1-10C,515
222298,WHITFIELD,LRG,CO - Cohutta,CO,699
222032,FULTON,6,SC23B,SC23B,197
22761,PAULDING,LRG,14C - Carl Scoggins Middle School,14C,1889
221952,JONES,1,11 - Ethridge,11,853
221981,CHATHAM,8,8-1 C - Civic Center,8-1 C,1127
221307,NEWTON,1,18 - Rocky Plains,18,1413
222368,DODGE,1,Empire,EMPIR,246
221628,CARROLL,5,716 - New Hope,716,611
222364,BIBB,2,GF2 - Godfrey 2,GF2,1100
22552,HENRY,4,42 - Cotton Indian,42,1834
221695,OCONEE,LRG,08 - Dark Corner,8,939
222800,EARLY,1,Urquhart,U,122
222693,LAURENS,3,15 - Minter,15,478
221313,CLAYTON,1,JB14 - Jonesboro 14,JB14,1727
222673,WASHINGTON,1,99 - Deepstep,99,269
221210,DEKALB,,BB - Boulevard (Atl),BB,1960
222627,RICHMOND,8,801B,801B,242
22440,CHEROKEE,6,031 - R T Jones,31,1121
22977,COBB,1,LW01 - Lewis 01,LW01,659
222472,MERIWETHER,2,04 - 7th-Odessadale,4,160
22221,GWINNETT,3,073 - Pinckneyville P,73,1135
221882,BIBB,5,HA1 - Hazzard 1,HA1,1246
22219,WAYNE,5,5B - Rec Center,05B,706
22675,FULTON,,01D,01D,508
22386,CAMDEN,5,08 - Kingsland,8,1155
22417,RICHMOND,4,408,408,255
221702,DOUGHERTY,5,12 - Carver Teen Cen,12,951
22745,FULTON,6,SC23A,SC23A,2423
22781,PEACH,4,P1 - Powersville,P1,592
222652,MITCHELL,1,PC - Pebble City,PC,84
22766,FULTON,1,RW16,RW16,781
22637,DOUGLAS,4,734 - Bright Star,734,1218
221191,CATOOSA,2,Westside,WEST,1746
22762,NEWTON,5,17 - Oxford,17,1075
221249,COLUMBIA,1,100 - Augusta Christian,100,1248
221323,GWINNETT,4,030 - Cates C,30,1135
22285,GWINNETT,1,127 - Lawrenceville J,127,836
222497,JONES,1,06 - Barron,6,435
222247,JACKSON,2,0455 - Miller,455,843
222626,LANIER,4,3 - Stockton,3,333
221752,GORDON,LRG,1235 - Oakman,1235,507
222312,OCONEE,LRG,06 - High Shoals,6,700
221640,DEKALB,5,KD - Ml King Jr High Scho,KD,1580
221267,GRADY,4,C04 - Cairo 4th Distr,C04,1426
221258,FULTON,1,RW10,RW10,1450
222295,GILMER,LRG,03 - Tails Creek,3,784
222020,FULTON,,04H,04H,488
222509,CHARLTON,1,1 - Folkston Library,1,603
221137,FULTON,3,EP04,EP04,980
221826,RICHMOND,2,202,202,2164
22659,PAULDING,LRG,10B - Hiram High School,10B,2991
222515,WILCOX,1,1A - Rochelle North #1,01A,337
22722,POLK,6,06 - Rockmart,6,2732
222392,BANKS,2,0003 - Berlin,3,170
221168,PAULDING,LRG,12B - Austin Middle School,12B,3668
221328,MERIWETHER,5,11 - 2nd-Warm Springs,11,687
221956,SEMINOLE,3,Precinct 3,3,567
221007,HENRY,1,27 - Sandy Ridge,27,1804
22632,GORDON,,849-B - Calhoun City,849-B,3949
222465,TWIGGS,1,JV/W - Jeffersonville/Ware,JV/W,997
221561,CHATHAM,2,2-2 C - Blackshear Comm Ctr,2-2 C,1033
221513,EFFINGHAM,4,04A,04A,1399
22654,CLAYTON,6,JB06 - Jonesboro 6,JB06,1052
2292,FULTON,3,CP011,CP011,1016
222547,LANIER,4,2 - Sirmans,2,244
222134,CHATHAM,7,7-8 C - Bloomingdale Com Ctr,7-8 C,1225
222288,MACON,5,5 - Montezuma #5,5,751
221716,FULTON,6,SC08B,SC08B,1828
22479,GWINNETT,4,088 - Rockbridge E,88,1882
222595,APPLING,4,04D,04D,515
2279,FAYETTE,LRG,31 - Fielding Ridge,31,1999
22772,GWINNETT,2,132 - Lawrenceville K,132,1220
221667,WHITE,LRG,091 - Tesnatee,91,538
221672,FULTON,3,SS13B,SS13B,362
222213,TIFT,3,05 - Docia,5,504
22887,FORSYTH,2,01 - Big Creek,1,3356
222216,COLUMBIA,3,061 - Greenbrier High,61,722
222035,HABERSHAM,LRG,02 - Cornelia,2,1061
222217,ROCKDALE,,BT - Bethel,BT,622
221081,FULTON,,03H,03H,638
221689,BARROW,1,5,5,1914
222648,BANKS,4,0002 - Baldwin,2,377
222635,HART,4,6 - Bowersville,6,649
221592,BIBB,1,EM1 - East Macon 1,EM1,1158
221596,DEKALB,4,TH - Tucker Library,TH,1322
222508,HART,5,3 - Goldmine,3,911
22860,FAYETTE,LRG,21 - Flat Creek,21,1406
22580,CHEROKEE,1,042 - Wildcat,42,1410
221623,RABUN,LRG,RABUN,RABUN,6148
221246,CATOOSA,4,Woodstation,WOOD,1325
222056,FULTON,6,EP08D,EP08D,445
221368,DEKALB,2,BC - Briar Vista Elem,BC,1672
221507,HOUSTON,3,KATH - Kathleen Voting Precinct,KATH,815
222131,WHITFIELD,LRG,GL - Grove Level,GL,1188
22252,CLARKE,6,05D,05D,1187
221699,DADE,1,974 - North Dade,974,1048
221031,CHATHAM,7,7-11C - Seventh Day Adv Chr,7-11C,1227
22218,DEKALB,6,MA - Eldridge L Miller El,MA,1364
221382,FULTON,,12D,12D,730
221803,SPALDING,5,14 - Sunnyside Methodi,14,961
221322,CHATHAM,4,4-6 C - First Baptist Church,4-6 C,983
22177,DEKALB,6,NC - North Hairston,NC,1113
221014,COBB,1,FY01 - Frey 01,FY01,904
22497,DOUGHERTY,3,16 - Turner Elem School,16,553
222657,EMANUEL,3,1748 - Adrian,1748,436
22320,DEKALB,7,AA - Allgood Elem,AA,1143
221088,SCREVEN,4,03 - Newington,3,578
221440,RICHMOND,3,303,303,733
222695,JEFFERSON,3,1593 - Avera,1593,215
221951,PEACH,3,F2 - Fort Valley #2,F2,1285
221266,MUSCOGEE,8,118 - St Paul/Clubvie,118,2985
22900,FLOYD,LRG,030 - Etowah,30,2280
221394,TOOMBS,4,1823 - Center,1823,680
222724,TELFAIR,3,Scotland,SC,201
221540,APPLING,4,04C,04C,218
22387,COBB,6,SO01 - Sope Creek 01,SO01,967
222005,BERRIEN,4,1157 - Nashville,1157,2805
222142,COLQUITT,1,0001 - Shaw,1,1943
22846,CHEROKEE,1,009 - Bridgemill,9,1960
221401,EVANS,2,Veterans Comm,11,3183
22545,COBB,4,BF03 - Bells Ferry 03,BF03,2542
222488,OCONEE,LRG,04 - Farmington,4,300
222560,CHATHAM,8,8-7 C - Woodville-Tompk,8-7 C,311
222343,WILCOX,2,5A - Abbeville South #5,05A,614
2298,HARRIS,4,MG - Mulberry Grove,MG,1221
221119,HALL,1,015 - Lula,15,1448
222250,DEKALB,6,PE - Pine Lake (Pin),PE,358
222042,FULTON,,03D,03D,478
22914,FLOYD,LRG,050 - Garden Lakes,50,2416
22947,WALKER,5,1812 - Rossville,1812,3613
221234,HEARD,5,Southwest,SOU,409
22784,BIBB,5,VV7 - Vineville 7,VV7,1664
221735,LOWNDES,5,08 - Rainwater Conference Center,8,2816
221348,BIBB,4,HA7 - Hazzard 7,HA7,1134
22936,FULTON,,09K,09K,1325
222743,COFFEE,5,3 - Bridgetown,3,152
222179,HOUSTON,3,HAFS - Haynesville Fire Station,HAFS,767
222272,WASHINGTON,1,94 - Davisboro,94,416
22436,DOUGLAS,2,1274 - Annette Winn School,1274,1174
22582,COBB,4,MK01 - McCleskey 01,MK01,748
221441,NEWTON,1,15 - Mansfield,15,641
221511,RANDOLPH,5,334 - Shellman,334,446
221182,CHEROKEE,1,034 - Sixes,34,1083
22349,FULTON,2,ML06,ML06,2685
222031,HARRIS,4,HA - Hamilton,HA,1056
222771,THOMAS,2,101 - Barwick,101,342
221469,HOUSTON,4,NSSH - Northside High School,NSSH,1176
221709,RICHMOND,6,605,605,973
22693,FULTON,2,AP022,AP022,1261
22269,FULTON,,06G,06G,1624
221637,NEWTON,5,04 - Alcovy,4,1770
22648,BIBB,1,VV8 - Vineville 8,VV8,873
22633,HENRY,2,30 - South Hampton,30,2059
221658,RICHMOND,2,208,208,688
222047,BARROW,2,8,8,1224
22466,CHEROKEE,3,026 - Little River,26,2797
221548,COLUMBIA,4,025 - Bessie Thomas Center,25,888
2282,COBB,5,PP01 - Pope 01,PP01,1271
222643,FRANKLIN,LRG,08 - Dooley,8,215
221312,FULTON,3,CP02,CP02,693
221308,CHATTOOGA,LRG,P-870 - Pennville,P-870,358
22960,BARTOW,,04 - Cartersville West,4,3000
22538,HALL,,026 - Gainesville III,26,2541
221405,CLARKE,8,08A,08A,1672
222173,FULTON,5,JC13B,JC13B,128
22864,HARALSON,4,10 - Seventh,10,801
22227,COBB,6,MT04 - Mt Bethel 04,MT04,1240
22274,FULTON,,11B,11B,2029
22624,DEKALB,1,NF - North Peachtree,NF,1140
222329,GORDON,LRG,874 - Fairmount,874,685
222195,COLQUITT,3,0008 - Bridgecreek,8,575
22157,DEKALB,,CI - Clairemont West (Dec,CI,1650
22775,FORSYTH,4,05 - Coal Mountain,5,1610
22608,DEKALB,5,FE - Flat Shoals Parkway,FE,1422
222683,JASPER,5,297 - Thompson & Barnes,297,397
222369,FULTON,,04W,04W,1281
222593,TERRELL,3,05 - Graves,5,336
221824,WALTON,3,422 - West Walton,422,1591
222144,SPALDING,1,02 - Fairmont,2,1037
22906,BARTOW,,03 - Cartersville East,3,3135
22908,CHATTOOGA,LRG,961 - Seminole,961,67
222636,MONTGOMERY,3,01 - Ailey,1,222
222684,MONROE,2,06 - Culloden,6,187
221864,GWINNETT,3,130 - Suwanee D,130,1667
22261,DEKALB,3,KE - Knollwood Elem,KE,1007
221283,RICHMOND,5,501,501,724
221428,CRISP,LRG,Listonia,LISTO,417
222069,LAMAR,4,1714 - Milner,1714,1714
221371,FULTON,6,SC09A,SC09A,1928
222653,MARION,3,948 - Brantley,948,198
22462,CHEROKEE,2,039 - Univeter,39,2169
2229,FULTON,4,UC02A,UC02A,3411
22486,GWINNETT,2,085 - Lawrenceville H,85,1539
22161,FULTON,,06F,06F,1662
221477,EFFINGHAM,3,03C,03C,883
221683,FULTON,,12J,12J,1380
221871,RICHMOND,5,506,506,959
221146,FANNIN,LRG,Mobile,MOBI,572
222675,LAURENS,2,14 - Harvard,14,187
221883,GWINNETT,4,075 - Rockbridge C,75,1789
221692,TIFT,1,06 - Eldorado,6,615
221509,COLUMBIA,1,135 - Bible Cathedral,135,1641
22494,COBB,4,BG01 - Big Shanty 01,BG01,1281
2295,DEKALB,2,CO - Cross Keys High,CO,1219
222132,THOMAS,4,106 - Ellabelle,106,564
221084,FAYETTE,LRG,30 - Murphy,30,1137
